file,low_dab_mean,low_dab_std,low_dab_rgb_mean,low_dab_rgb_std,high_dab_mean,high_dab_std,high_dab_rgb_mean,high_dab_rgb_std
"CyclinD1/1. WT, Chow/NK52/CyclinD1 NK52_1.vmic.18820.tif Snapshot 4.tif",0.0256436268257119,0.0056630343773384,178.89796004285148,23.70722916498197,0.0775197306711489,0.0279862539180023,100.29193785821568,21.98685768031936
"CyclinD1/1. WT, Chow/NK53/CyclinD1_NK53_1.vmic.18980.tif Snapshot 1.tif",0.0642918791541688,0.011890702235013,150.6795309352132,17.030825537816575,0.1542690367683676,0.052990794154604,77.83854042114413,20.18313139427851
"CyclinD1/1. WT, Chow/NK53/CyclinD1_NK53_1.vmic.18980.tif Snapshot 2.tif",0.0573456154203283,0.0110369440290569,157.8576321647222,17.09249660389964,0.1455426635054824,0.0476308263279871,80.63314752103857,19.315900856367065
"CyclinD1/1. WT, Chow/NK53/CyclinD1_NK53_1.vmic.18980.tif Snapshot 3.tif",0.0567116749012398,0.0108779496638244,159.00187987329184,16.95547682829406,0.1488330963607324,0.048041160825375,79.7255464771073,19.56960178292104
"CyclinD1/1. WT, Chow/NK53/CyclinD1_NK53_1.vmic.18980.tif Snapshot 4.tif",0.0506844730492245,0.0101066515751032,165.95148595256603,16.82795729760528,0.1321198567355312,0.044137235484038,88.583417723903,20.993563415385115
"CyclinD1/1. WT, Chow/NK55/CyclinD1 NK55_2.vmic.18820.tif Snapshot 1.tif",0.0422268767710389,0.0124165119015114,146.17069075603058,32.97932215027122,0.1136727398577998,0.0327637287510379,72.70248045724473,16.922548324385524
"CyclinD1/1. WT, Chow/NK55/CyclinD1 NK55_2.vmic.18820.tif Snapshot 2.tif",0.0511556880375931,0.0140904774463679,118.74439533754254,30.00998269899656,0.1205948763670803,0.032225484645941,65.61875548361208,14.79057044871895
"CyclinD1/1. WT, Chow/NK55/CyclinD1 NK55_2.vmic.18820.tif Snapshot 3.tif",0.045274164206964,0.0134930001224364,139.9565534445672,33.8424381327133,0.1220038949890808,0.037311776669341,69.3308540140795,17.333696185843245
"CyclinD1/1. WT, Chow/NK55/CyclinD1 NK55_2.vmic.18820.tif Snapshot 4.tif",0.0463127874356721,0.0138339022628534,141.93439910501502,32.25719352927985,0.1206055404886949,0.0355854455937615,76.10395768462266,17.208221124027194
"CyclinD1/2. KO, Chow/ASV51/CyclinD1_ASV51_1.vmic.13300.tif Snapshot 1.tif",0.0260658539773812,0.0096809552179169,128.1131643281346,36.1974734434919,0.0795607709796773,0.029231114104393,63.31789124658833,22.671304981691183
"CyclinD1/2. KO, Chow/ASV51/CyclinD1_ASV51_1.vmic.13300.tif Snapshot 2.tif",0.008855589644943,0.0032724049534294,187.56163160978667,23.345168912569765,0.0535300980875481,0.0252953731961784,82.55216748692234,27.60775404547851
"CyclinD1/2. KO, Chow/ASV51/CyclinD1_ASV51_1.vmic.13300.tif Snapshot 3.tif",0.0086454521183777,0.0029080718793502,181.93778973866344,21.961045089276816,0.047645325447306,0.0236119012931468,84.80466125878314,28.218825216133563
"CyclinD1/2. KO, Chow/ASV51/CyclinD1_ASV51_1.vmic.13300.tif Snapshot 4.tif",0.0072603947254388,0.0025488454017004,185.69512404722147,23.73337774240608,0.0410169798754682,0.0197598198823001,85.67950425024846,28.152845693991573
"CyclinD1/2. KO, Chow/ASV52/CyclinD1_ASV52_2.vmic.20020.tif  Snapshot 1.tif",0.0081103110814575,0.0021530930382055,220.98853413140205,18.910563588694405,0.025015575062139,0.009093878581588,161.7131032106582,21.55145254509448
"CyclinD1/2. KO, Chow/ASV52/CyclinD1_ASV52_2.vmic.20020.tif  Snapshot 2.tif",0.0090319640707838,0.0026750739863552,218.96554879985223,20.324349707997595,0.0313652254341369,0.0119322735360243,158.01292423251422,22.07933812768012
"CyclinD1/2. KO, Chow/ASV52/CyclinD1_ASV52_2.vmic.20020.tif  Snapshot 3.tif",0.012714591184931,0.0040256146768924,208.26600359716127,23.481697924734068,0.0468394281042136,0.0190398702489355,138.11493769557205,25.707575713639905
"CyclinD1/2. KO, Chow/ASV52/CyclinD1_ASV52_2.vmic.20020.tif  Snapshot 4.tif",0.0106499132885156,0.0024730043335635,215.18079473474745,18.99056092272318,0.0298859820360365,0.0115317883137686,154.75403024664237,22.395297502172912
"CyclinD1/2. KO, Chow/ASV53/CyclinD1_ASV53_1.vmic.20020.tif  Snapshot 1.tif",0.011431071163369,0.0041904240431756,216.79333360628664,22.39896512082457,0.0475028045671283,0.0185755207800345,149.018261149059,21.7317087315393
"CyclinD1/2. KO, Chow/ASV53/CyclinD1_ASV53_1.vmic.20020.tif  Snapshot 2.tif",0.0167234710748962,0.0063403976410417,193.15122599093104,24.978513819277705,0.0532977099068605,0.0210030477777141,146.6675549446133,23.22202876564937
"CyclinD1/2. KO, Chow/ASV53/CyclinD1_ASV53_1.vmic.20020.tif  Snapshot 3.tif",0.0074851817010101,0.0026274323182485,225.56167334327247,18.85696163947989,0.0329631071586033,0.0165634666582645,165.96482495646808,24.081564103391464
"CyclinD1/2. KO, Chow/ASV53/CyclinD1_ASV53_1.vmic.20020.tif  Snapshot 4.tif",0.0081835960586968,0.0026851963245971,223.47238025956807,19.47116693330594,0.0325862949334108,0.0167280724618495,162.67764849250406,23.88342731667608
"CyclinD1/2. KO, Chow/ASV56/CyclinD1_ASV56_1.vmic.20020.tif  Snapshot 1.tif",0.0401144990660929,0.0131178055958931,157.07898578752577,24.765529274144377,0.1043641064981988,0.0326945197724409,101.52308026935488,22.60702706944885
"CyclinD1/2. KO, Chow/ASV56/CyclinD1_ASV56_1.vmic.20020.tif  Snapshot 2.tif",0.0368887175222178,0.0120072471866054,158.22293842282784,25.58528379687253,0.0969665683682182,0.0272335676368413,104.07577753344724,19.05300138995776
"CyclinD1/2. KO, Chow/ASV56/CyclinD1_ASV56_1.vmic.20020.tif  Snapshot 3.tif",0.0210764473667194,0.0073230065420287,197.2496198735549,26.391933295762847,0.0736312674132678,0.0249151544723012,120.699513477331,21.819855718010565
"CyclinD1/2. KO, Chow/ASV56/CyclinD1_ASV56_1.vmic.20020.tif  Snapshot 4.tif",0.0283917636433776,0.010513073961718,180.0312348335777,28.139297601164376,0.0964538705396557,0.0318089396188603,105.33799523463227,21.022242438895145
"CyclinD1/2. KO, Chow/ASV63/CyclinD1 ASV63_1.vmic.18820.tif Snapshot 1.tif",0.0459732755987215,0.0146286963813814,151.06873222948127,32.63068050762756,0.1466004963012674,0.0485009200742215,65.75117578688659,16.617180641063435
"CyclinD1/2. KO, Chow/ASV63/CyclinD1 ASV63_2.vmic.18820.tif Snapshot 1.tif",0.0399374287462608,0.0134708404435802,167.22097326656836,26.53196676547491,0.1508216726817337,0.0536744231222194,64.62503020523972,18.69207889556993
"CyclinD1/2. KO, Chow/NK38/CyclinD1_NK38_1.vmic.18980.tif Snapshot 1.tif",0.0427941781676874,0.0056712200764332,178.7429970728917,13.316020533408162,0.0619109726115671,0.0121150465591423,158.07237231675472,15.466361090575605
"CyclinD1/2. KO, Chow/NK40/CyclinD1_NK40_1.vmic.18980.tif Snapshot 1.tif",0.0365110463368687,0.0063354325648731,180.9451525473245,14.76328047071389,0.0839292536245842,0.0267115511066413,120.1130381280163,23.47037542167537
"CyclinD1/2. KO, Chow/NK40/CyclinD1_NK40_1.vmic.18980.tif Snapshot 2.tif",0.0354737153143652,0.0063750557814289,183.0598670035989,14.20394858579986,0.0906389918678466,0.0304617478070457,113.8324266214018,21.93470814141854
"CyclinD1/2. KO, Chow/NK40/CyclinD1_NK40_1.vmic.18980.tif Snapshot 3.tif",0.0412837626389076,0.0072248408126035,179.26319763371893,13.440112858406309,0.0980216762472006,0.0315402685894844,115.11005048329709,22.582074223066986
"CyclinD1/2. KO, Chow/NK40/CyclinD1_NK40_1.vmic.18980.tif Snapshot 4.tif",0.0345376291665013,0.0064780462026309,185.1930254378327,14.486798898856067,0.0757528048112775,0.0276996591206216,130.87127056280264,25.97515840445779
"CyclinD1/2. KO, Chow/NK44/CyclinD1_NK44_1.vmic.18980.tif Snapshot 1.tif",0.0391559868507271,0.0058869912891437,178.81202351935968,12.593634693534309,0.0684988697843883,0.0207089703306547,144.06817092412768,22.416461904779933
"CyclinD1/2. KO, Chow/NK44/CyclinD1_NK44_1.vmic.18980.tif Snapshot 2.tif",0.0380659206795898,0.0060446951439548,178.88771589860744,13.274689438228474,0.0717408042488279,0.0233815636076908,135.19592891654045,25.19364880598088
"CyclinD1/2. KO, Chow/NK44/CyclinD1_NK44_1.vmic.18980.tif Snapshot 3.tif",0.0263340755502183,0.0042985450342146,188.388246888436,15.73443039339772,0.0444907480190655,0.0131834619158304,164.27873637255584,22.94328187995276
"CyclinD1/2. KO, Chow/NK56/CyclinD1_NK56_1.vmic.18980.tif Snapshot 1.tif",0.0347899429404963,0.0065605732706566,186.3503626674786,14.771204198818635,0.0831667443460395,0.0263976308685282,118.28568913219206,22.108499376521312
"CyclinD1/2. KO, Chow/NK56/CyclinD1_NK56_1.vmic.18980.tif Snapshot 2.tif",0.0356962958954874,0.0058052215678551,186.7985178297781,13.181031937616122,0.0567661194121695,0.0152872005030325,159.68414046786137,20.76011040833274
"CyclinD1/2. KO, Chow/NK56/CyclinD1_NK56_1.vmic.18980.tif Snapshot 3.tif",0.0428874864919283,0.0069779062453076,179.08592997931945,12.922403488398318,0.0828175056064809,0.0236885419568951,127.29017792732309,23.061294736694688
"CyclinD1/3. WT, WD/NK3/CyclinD1_NK3_1.vmic.18980.tif Snapshot 1.tif",0.0596415433364011,0.0120825379968495,163.20069641677753,15.249887025723751,0.1486679309479752,0.0435765308764573,92.33601130131596,18.75126509837186
"CyclinD1/3. WT, WD/NK3/CyclinD1_NK3_1.vmic.18980.tif Snapshot 2.tif",0.0603838524360553,0.0122985589042677,161.79409070503976,15.401539103875855,0.144096875512566,0.0390654062537321,94.20871563711368,18.634426968717825
"CyclinD1/3. WT, WD/NK3/CyclinD1_NK3_1.vmic.18980.tif Snapshot 3.tif",0.0588909600958506,0.011157489605918,162.8615033337781,14.537947067284405,0.1371954079995909,0.0361209869365491,97.57306911978466,18.10446170818837
"CyclinD1/3. WT, WD/NK3/CyclinD1_NK3_1.vmic.18980.tif Snapshot 4.tif",0.0581885950839508,0.0110373592812797,162.67226439534392,15.170477275452024,0.1335402240897728,0.0359911906591863,98.1951297002829,18.760948968671155
"CyclinD1/3. WT, WD/NK4/CyclinD1_NK4_1.vmic.18980.tif Snapshot 1.tif",0.0360890428720898,0.0080902429019698,179.87782408819248,18.94468912078612,0.0889319380152229,0.0265916905656363,115.65657032488151,20.010647721348167
"CyclinD1/3. WT, WD/NK4/CyclinD1_NK4_1.vmic.18980.tif Snapshot 2.tif",0.0337721364004071,0.0070650693192901,179.73499427520838,18.80386694310307,0.0804942358075372,0.0233276150315253,119.5552997746472,20.08291879010191
"CyclinD1/3. WT, WD/NK4/CyclinD1_NK4_1.vmic.18980.tif Snapshot 3.tif",0.040022407102068,0.0085493980335429,173.23639005178825,17.577028502321678,0.0953921772097762,0.0276360916476853,112.3133864929799,19.475702467291168
"CyclinD1/3. WT, WD/NK4/CyclinD1_NK4_1.vmic.18980.tif Snapshot 4.tif",0.0409814329772324,0.0091633112693738,172.98142677191174,17.887557349879597,0.101067206290612,0.0297908543985548,107.88577841276124,19.499983284677235
"CyclinD1/3. WT, WD/TY117/CyclinD1_TY117_1.vmic.20020.tif Snapshot 1.tif",0.042228226820857,0.0132486601687895,139.0556585155011,26.341882049181848,0.1016987751909738,0.0265297755773606,91.47033768357926,16.84883894767905
"CyclinD1/3. WT, WD/TY117/CyclinD1_TY117_1.vmic.20020.tif Snapshot 2.tif",0.0415700355735573,0.013154253090984,141.91779064490353,26.00469297068695,0.1002386914595165,0.0262461411975266,94.07471376740752,16.915182091887207
"CyclinD1/3. WT, WD/TY117/CyclinD1_TY117_1.vmic.20020.tif Snapshot 3.tif",0.0423069463133167,0.0125898009082342,141.27447526943698,23.93136102297068,0.0977046378199039,0.0261700022383549,95.48526660683196,17.64444290230215
"CyclinD1/3. WT, WD/TY117/CyclinD1_TY117_1.vmic.20020.tif Snapshot 4.tif",0.0413344313441076,0.0130974856270081,143.25958014527748,25.617860654270377,0.1007391442663225,0.0261847461755859,93.16689987632368,16.640809602897953
"CyclinD1/3. WT, WD/TY166/CyclinD1_TY166_1.vmic.20020.tif Snapshot 1.tif",0.0884028963125298,0.0283258779535171,107.33098770329237,30.975804455812963,0.2351952593652624,0.0990267179468334,45.240144996273465,12.970131069157365
"CyclinD1/3. WT, WD/TY166/CyclinD1_TY166_1.vmic.20020.tif Snapshot 2.tif",0.0892941050430712,0.027276996511276,102.39411995492492,27.8387447837884,0.2215188840128149,0.091413937183056,46.56876202971922,12.56985090507937
"CyclinD1/3. WT, WD/TY166/CyclinD1_TY166_1.vmic.20020.tif Snapshot 3.tif",0.0776959946507437,0.0263983018839989,118.04720826091618,35.21782426483208,0.2185401459114463,0.0867603493528601,47.60592082061204,13.69131870037722
"CyclinD1/3. WT, WD/TY166/CyclinD1_TY166_2.vmic.20020.tif Snapshot 1.tif",0.0633919819436178,0.0208616733301389,122.771623271981,28.12601864939804,0.1633217257086684,0.0421286127331026,65.19985661588214,14.1110676358506
"CyclinD1/3. WT, WD/TY166/CyclinD1_TY166_2.vmic.20020.tif Snapshot 2.tif",0.05672135096303,0.0174530529361038,127.42351143429237,25.91482877012,0.1414091337403115,0.0359166451408012,72.64836749960584,15.509971033169826
